id,name,movie_id
80.0,Crime,1248
18.0,Drama,1248
53.0,Thriller,1248
28.0,Action,14761
99.0,Documentary,14761
35.0,Comedy,9965
35.0,Comedy,9958
53.0,Thriller,1250
28.0,Action,1250
14.0,Fantasy,1250
27.0,Horror,1250
18.0,Drama,13185
28.0,Action,11841
12.0,Adventure,11841
35.0,Comedy,11945
10751.0,Family,11945
35.0,Comedy,5691
18.0,Drama,5691
35.0,Comedy,15582
14.0,Fantasy,15582
10751.0,Family,15582
28.0,Action,11330
53.0,Thriller,11330
80.0,Crime,11330
878.0,Science Fiction,10942
28.0,Action,10942
12.0,Adventure,10942
53.0,Thriller,7006
18.0,Drama,7006
27.0,Horror,7006
14.0,Fantasy,7006
14.0,Fantasy,8965
16.0,Animation,8965
878.0,Science Fiction,8965
10751.0,Family,8965
28.0,Action,8965
28.0,Action,1271
12.0,Adventure,1271
10752.0,War,1271
27.0,Horror,9793
53.0,Thriller,9793
35.0,Comedy,10172
10751.0,Family,10172
18.0,Drama,10172
27.0,Horror,10294
53.0,Thriller,10294
27.0,Horror,1987
80.0,Crime,1987
18.0,Drama,1987
10751.0,Family,1268
35.0,Comedy,1268
14.0,Fantasy,559
28.0,Action,559
12.0,Adventure,559
53.0,Thriller,14240
28.0,Action,14240
27.0,Horror,14240
14.0,Fantasy,2269
27.0,Horror,2269
27.0,Horror,1562
53.0,Thriller,1562
878.0,Science Fiction,1562
14.0,Fantasy,810
12.0,Adventure,810
16.0,Animation,810
35.0,Comedy,810
10751.0,Family,810
12.0,Adventure,285
14.0,Fantasy,285
28.0,Action,285
14.0,Fantasy,14208
28.0,Action,14208
12.0,Adventure,14208
53.0,Thriller,14207
12.0,Adventure,14207
28.0,Action,14207
35.0,Comedy,14207
18.0,Drama,14207
14.0,Fantasy,14207
10749.0,Romance,14207
878.0,Science Fiction,39465
28.0,Action,39465
14.0,Fantasy,39465
12.0,Adventure,39465
28.0,Action,12561
12.0,Adventure,12561
27.0,Horror,12561
878.0,Science Fiction,12561
28.0,Action,36679
12.0,Adventure,36679
878.0,Science Fiction,36679
18.0,Drama,36679
14.0,Fantasy,36679
27.0,Horror,36679
27.0,Horror,1691
14.0,Fantasy,22049
878.0,Science Fiction,22049
12.0,Adventure,1979
14.0,Fantasy,1979
28.0,Action,1979
53.0,Thriller,1979
28.0,Action,1991
53.0,Thriller,1991
35.0,Comedy,11211
18.0,Drama,9815
35.0,Comedy,12695
28.0,Action,1571
53.0,Thriller,1571
14.0,Fantasy,2698
35.0,Comedy,2698
10751.0,Family,2698
12.0,Adventure,1858
878.0,Science Fiction,1858
28.0,Action,1858
12.0,Adventure,675
14.0,Fantasy,675
10751.0,Family,675
9648.0,Mystery,675
28.0,Action,13491
12.0,Adventure,13491
18.0,Drama,13491
10749.0,Romance,13491
28.0,Action,2503
18.0,Drama,2503
9648.0,Mystery,2503
53.0,Thriller,2503
35.0,Comedy,34588
18.0,Drama,2701
35.0,Comedy,17350
28.0,Action,5174
35.0,Comedy,5174
80.0,Crime,5174
53.0,Thriller,5174
35.0,Comedy,14144
10751.0,Family,14144
27.0,Horror,2082
35.0,Comedy,1845
10749.0,Romance,1845
28.0,Action,2335
35.0,Comedy,2335
27.0,Horror,1992
28.0,Action,1992
53.0,Thriller,1992
35.0,Comedy,14348
99.0,Documentary,14348
27.0,Horror,7737
28.0,Action,7737
878.0,Science Fiction,7737
18.0,Drama,4517
36.0,History,4517
10749.0,Romance,4517
27.0,Horror,4513
53.0,Thriller,4513
27.0,Horror,663
53.0,Thriller,663
80.0,Crime,663
28.0,Action,48301
18.0,Drama,7347
28.0,Action,7347
80.0,Crime,7347
35.0,Comedy,16768
99.0,Documentary,16768
28.0,Action,1620
80.0,Crime,1620
18.0,Drama,1620
53.0,Thriller,1620
35.0,Comedy,6477
10402.0,Music,6477
10751.0,Family,6477
14.0,Fantasy,6477
16.0,Animation,6477
16.0,Animation,7249
35.0,Comedy,7249
878.0,Science Fiction,7249
27.0,Horror,13186
53.0,Thriller,13186
18.0,Drama,15495
27.0,Horror,15495
53.0,Thriller,15495
28.0,Action,6637
12.0,Adventure,6637
9648.0,Mystery,6637
53.0,Thriller,6637
14.0,Fantasy,440
28.0,Action,440
878.0,Science Fiction,440
53.0,Thriller,440
27.0,Horror,440
18.0,Drama,6076
35.0,Comedy,6076
10749.0,Romance,6076
10770.0,TV Movie,69315
878.0,Science Fiction,69315
28.0,Action,69315
18.0,Drama,69315
53.0,Thriller,69315
27.0,Horror,8329
9648.0,Mystery,8329
12.0,Adventure,2312
14.0,Fantasy,2312
28.0,Action,2312
18.0,Drama,2312
35.0,Comedy,11908
27.0,Horror,11908
27.0,Horror,6933
9648.0,Mystery,6933
53.0,Thriller,6933
28.0,Action,7555
53.0,Thriller,7555
18.0,Drama,9030
27.0,Horror,9030
53.0,Thriller,9030
12.0,Adventure,11253
14.0,Fantasy,11253
878.0,Science Fiction,11253
28.0,Action,13054
12.0,Adventure,13054
80.0,Crime,13054
18.0,Drama,13054
53.0,Thriller,13054
10402.0,Music,8328
18.0,Drama,8328
10749.0,Romance,8328
27.0,Horror,13025
28.0,Action,13025
878.0,Science Fiction,13025
35.0,Comedy,28260
878.0,Science Fiction,28260
10749.0,Romance,28260
27.0,Horror,28260
18.0,Drama,155
28.0,Action,155
80.0,Crime,155
53.0,Thriller,155
28.0,Action,18070
18.0,Drama,8456
28.0,Action,8456
28.0,Action,19333
878.0,Science Fiction,19333
14.0,Fantasy,19333
28.0,Action,1266
80.0,Crime,1266
18.0,Drama,1266
53.0,Thriller,1266
35.0,Comedy,13335
12.0,Adventure,13335
28.0,Action,9017
12.0,Adventure,9017
27.0,Horror,9017
28.0,Action,38661
12.0,Adventure,38661
28.0,Action,40044
12.0,Adventure,40044
28.0,Action,40214
12.0,Adventure,40214
10749.0,Romance,40214
28.0,Action,40045
12.0,Adventure,40045
28.0,Action,1726
878.0,Science Fiction,1726
12.0,Adventure,1726
28.0,Action,8681
53.0,Thriller,8681
12.0,Adventure,13001
878.0,Science Fiction,13001
35.0,Comedy,8277
12.0,Adventure,2454
10751.0,Family,2454
14.0,Fantasy,2454
12.0,Adventure,217
28.0,Action,217
35.0,Comedy,4564
18.0,Drama,4564
10749.0,Romance,4564
12.0,Adventure,9502
16.0,Animation,9502
10751.0,Family,9502
35.0,Comedy,9502
16.0,Animation,12889
35.0,Comedy,12889
878.0,Science Fiction,12889
14.0,Fantasy,12889
16.0,Animation,13205
18.0,Drama,13205
10751.0,Family,13205
35.0,Comedy,8359
18.0,Drama,8359
10751.0,Family,8359
10751.0,Family,13675
16.0,Animation,13675
10770.0,TV Movie,13675
35.0,Comedy,9010
80.0,Crime,9010
53.0,Thriller,9010
28.0,Action,88751
878.0,Science Fiction,88751
12.0,Adventure,88751
35.0,Comedy,88751
10751.0,Family,88751
18.0,Drama,15840
18.0,Drama,15830
14.0,Fantasy,16007
9648.0,Mystery,16007
53.0,Thriller,16007
16.0,Animation,11802
10751.0,Family,11802
12.0,Adventure,12914
878.0,Science Fiction,12914
878.0,Science Fiction,14154
18.0,Drama,14154
53.0,Thriller,14154
18.0,Drama,8836
9648.0,Mystery,8836
878.0,Science Fiction,8836
53.0,Thriller,8836
10751.0,Family,10898
16.0,Animation,10898
35.0,Comedy,13541
14.0,Fantasy,13541
10770.0,TV Movie,13541
18.0,Drama,11910
14.0,Fantasy,11910
12.0,Adventure,1735
28.0,Action,1735
14.0,Fantasy,1735
12.0,Adventure,12289
18.0,Drama,12289
28.0,Action,12289
12.0,Adventure,10188
35.0,Comedy,10188
18.0,Drama,10188
10751.0,Family,10188
35.0,Comedy,13649
18.0,Drama,13649
10751.0,Family,13649
10402.0,Music,13649
28.0,Action,10483
53.0,Thriller,10483
878.0,Science Fiction,10483
27.0,Horror,13515
9648.0,Mystery,13515
53.0,Thriller,13515
27.0,Horror,13564
53.0,Thriller,13564
27.0,Horror,15206
28.0,Action,16456
27.0,Horror,16456
53.0,Thriller,16456
28.0,Action,12683
14.0,Fantasy,12683
27.0,Horror,12683
28.0,Action,11874
35.0,Comedy,11874
37.0,Western,11874
16.0,Animation,25741
10751.0,Family,25741
12.0,Adventure,25741
18.0,Drama,25741
14.0,Fantasy,25741
27.0,Horror,13812
878.0,Science Fiction,13812
53.0,Thriller,13812
80.0,Crime,13489
18.0,Drama,13489
27.0,Horror,13489
53.0,Thriller,13489
18.0,Drama,41474
28.0,Action,41474
28.0,Action,41477
10769.0,Foreign,41477
878.0,Science Fiction,16068
12.0,Adventure,16068
28.0,Action,16068
28.0,Action,15289
12.0,Adventure,15289
878.0,Science Fiction,15289
35.0,Comedy,11887
18.0,Drama,11887
10751.0,Family,11887
10402.0,Music,11887
10749.0,Romance,11887
16.0,Animation,13253
35.0,Comedy,13253
878.0,Science Fiction,13253
10751.0,Family,10527
16.0,Animation,10527
27.0,Horror,36073
12.0,Adventure,10764
28.0,Action,10764
53.0,Thriller,10764
80.0,Crime,10764
28.0,Action,14943
35.0,Comedy,13655
18.0,Drama,13655
10751.0,Family,13655
10402.0,Music,13655
10770.0,TV Movie,13655
27.0,Horror,11917
53.0,Thriller,11917
80.0,Crime,11917
35.0,Comedy,12525
27.0,Horror,12525
878.0,Science Fiction,12525
53.0,Thriller,12525
12.0,Adventure,14405
35.0,Comedy,14405
10751.0,Family,14405
28.0,Action,36571
10752.0,War,36571
10752.0,War,36572
28.0,Action,36572
12.0,Adventure,8966
14.0,Fantasy,8966
18.0,Drama,8966
10749.0,Romance,8966
28.0,Action,13387
12.0,Adventure,13387
53.0,Thriller,13387
80.0,Crime,13387
28.0,Action,15026
14.0,Fantasy,15026
878.0,Science Fiction,15026
16.0,Animation,14447
35.0,Comedy,14447
10751.0,Family,14447
27.0,Horror,28148
28.0,Action,28148
18.0,Drama,8881
36.0,History,8881
10752.0,War,8881
18.0,Drama,8880
36.0,History,8880
10752.0,War,8880
12.0,Adventure,11127
878.0,Science Fiction,11127
28.0,Action,11127
14.0,Fantasy,9050
18.0,Drama,9050
27.0,Horror,9050
28.0,Action,9050
35.0,Comedy,9050
10749.0,Romance,9050
12.0,Adventure,36573
10752.0,War,36573
28.0,Action,36573
35.0,Comedy,14306
10751.0,Family,14306
10770.0,TV Movie,31047
18.0,Drama,31047
53.0,Thriller,31047
80.0,Crime,31047
28.0,Action,25528
53.0,Thriller,25528
12.0,Adventure,13690
16.0,Animation,13690
35.0,Comedy,13690
10751.0,Family,13690
18.0,Drama,14756
28.0,Action,14756
36.0,History,14756
27.0,Horror,35945
12.0,Adventure,26235
35.0,Comedy,26235
14.0,Fantasy,26235
18.0,Drama,13635
28.0,Action,13635
53.0,Thriller,13635
80.0,Crime,13635
14.0,Fantasy,12437
28.0,Action,12437
12.0,Adventure,12437
878.0,Science Fiction,12437
53.0,Thriller,12437
12.0,Adventure,15227
16.0,Animation,15227
878.0,Science Fiction,15227
28.0,Action,14560
12.0,Adventure,14560
35.0,Comedy,14560
10751.0,Family,14560
9648.0,Mystery,1977
27.0,Horror,1977
53.0,Thriller,1977
16.0,Animation,15060
35.0,Comedy,15060
16.0,Animation,14711
28.0,Action,15268
12.0,Adventure,15268
878.0,Science Fiction,15268
53.0,Thriller,15268
27.0,Horror,13207
35.0,Comedy,15159
9648.0,Mystery,15159
53.0,Thriller,18781
27.0,Horror,18781
12.0,Adventure,16353
28.0,Action,16353
53.0,Thriller,16353
18.0,Drama,15472
53.0,Thriller,15472
80.0,Crime,15472
9648.0,Mystery,15472
27.0,Horror,30155
53.0,Thriller,30155
878.0,Science Fiction,16258
53.0,Thriller,16258
18.0,Drama,16258
80.0,Crime,16258
27.0,Horror,9841
53.0,Thriller,9841
28.0,Action,13804
80.0,Crime,13804
18.0,Drama,13804
53.0,Thriller,13804
18.0,Drama,45882
28.0,Action,15092
53.0,Thriller,15092
80.0,Crime,15092
12.0,Adventure,2080
28.0,Action,2080
53.0,Thriller,2080
878.0,Science Fiction,2080
878.0,Science Fiction,13475
28.0,Action,13475
12.0,Adventure,13475
28.0,Action,11160
35.0,Comedy,11160
80.0,Crime,11160
18.0,Drama,11160
10752.0,War,15384
28.0,Action,15384
18.0,Drama,15384
36.0,History,15384
53.0,Thriller,15384
80.0,Crime,17124
18.0,Drama,17124
9648.0,Mystery,17124
53.0,Thriller,17532
80.0,Crime,17532
878.0,Science Fiction,17532
9648.0,Mystery,17532
53.0,Thriller,13448
9648.0,Mystery,13448
28.0,Action,534
878.0,Science Fiction,534
53.0,Thriller,534
12.0,Adventure,18360
14.0,Fantasy,18360
28.0,Action,18360
35.0,Comedy,18360
10751.0,Family,18360
